x,y,z,rho_0,rho_1
0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0
0.0,0.0,2.0,0.0,1.0
0.0,0.0,3.0,0.0,1.0
0.0,0.0,4.0,2.1e-44,1.0
0.0,0.0,5.0,1.1544e-41,1.0
0.0,0.0,6.0,4.466986e-39,1.0
0.0,0.0,7.0,1.2291585e-36,1.0
0.0,0.0,8.0,2.4237963e-34,1.0
0.0,0.0,9.0,3.4532777e-32,1.0
0.0,0.0,10.0,3.584647e-30,1.0
0.0,0.0,11.0,2.734528e-28,1.0
0.0,0.0,12.0,1.5467522e-26,1.0
0.0,0.0,13.0,6.5458534e-25,1.0
0.0,0.0,14.0,2.0919129e-23,1.0
0.0,0.0,15.0,5.095495e-22,1.0
0.0,0.0,16.0,9.548984e-21,1.0
0.0,0.0,17.0,1.3897387e-19,1.0
0.0,0.0,18.0,1.5852988e-18,1.0
0.0,0.0,19.0,1.4304064e-17,1.0
0.0,0.0,20.0,1.0299455e-16,1.0
0.0,0.0,21.0,5.968548e-16,1.0
0.0,0.0,22.0,2.8062869e-15,1.0
0.0,0.0,23.0,1.0786675e-14,1.0
0.0,0.0,24.0,3.4130796e-14,1.0
0.0,0.0,25.0,8.945579e-14,1.0
0.0,0.0,26.0,1.9527167e-13,1.0
0.0,0.0,27.0,3.5662578e-13,1.0
0.0,0.0,28.0,5.469015e-13,1.0
0.0,0.0,29.0,7.0609734e-13,1.0
0.0,0.0,30.0,7.6872986e-13,1.0
0.0,0.0,31.0,7.0609734e-13,1.0
0.0,0.0,32.0,5.469015e-13,1.0
0.0,0.0,33.0,3.5662578e-13,1.0
0.0,0.0,34.0,1.9527167e-13,1.0
0.0,0.0,35.0,8.945579e-14,1.0
0.0,0.0,36.0,3.4130796e-14,1.0
0.0,0.0,37.0,1.0786675e-14,1.0
0.0,0.0,38.0,2.8062869e-15,1.0
0.0,0.0,39.0,5.968548e-16,1.0
0.0,0.0,40.0,1.0299455e-16,1.0
0.0,0.0,41.0,1.4304064e-17,1.0
0.0,0.0,42.0,1.5852988e-18,1.0
0.0,0.0,43.0,1.3897387e-19,1.0
0.0,0.0,44.0,9.548984e-21,1.0
0.0,0.0,45.0,5.095495e-22,1.0
0.0,0.0,46.0,2.0919129e-23,1.0
0.0,0.0,47.0,6.5458534e-25,1.0
