x,y,z,rho_0,rho_1
0.0,2.0,16.0,0.0,1.0
0.0,2.0,17.0,0.0,1.0
0.0,2.0,18.0,0.0,1.0
0.0,2.0,19.0,0.0,1.0
0.0,2.0,20.0,2.12e-43,1.0
0.0,2.0,21.0,1.02607e-40,1.0
0.0,2.0,22.0,2.302195e-38,1.0
0.0,2.0,23.0,2.4820916e-36,1.0
0.0,2.0,24.0,1.3305027e-34,1.0
0.0,2.0,25.0,3.6568336e-33,1.0
0.0,2.0,26.0,5.293845e-32,1.0
0.0,2.0,27.0,4.129717e-31,1.0
0.0,2.0,28.0,1.7677571e-30,1.0
0.0,2.0,29.0,4.2072346e-30,1.0
0.0,2.0,30.0,5.6121486e-30,1.0
0.0,2.0,31.0,4.2072346e-30,1.0
0.0,2.0,32.0,1.7677571e-30,1.0
0.0,2.0,33.0,4.129717e-31,1.0
0.0,2.0,34.0,5.293845e-32,1.0
0.0,2.0,35.0,3.6568336e-33,1.0
0.0,2.0,36.0,1.3305027e-34,1.0
0.0,2.0,37.0,2.4820916e-36,1.0
0.0,2.0,38.0,2.302195e-38,1.0
0.0,2.0,39.0,1.02607e-40,1.0
0.0,2.0,40.0,2.12e-43,1.0
0.0,2.0,41.0,0.0,1.0
0.0,2.0,42.0,0.0,1.0
0.0,2.0,43.0,0.0,1.0
0.0,2.0,44.0,0.0,1.0
0.0,2.0,45.0,0.0,1.0
0.0,2.0,46.0,0.0,1.0
0.0,2.0,47.0,0.0,1.0
0.0,2.0,48.0,0.0,1.0
0.0,2.0,49.0,0.0,1.0
0.0,2.0,50.0,0.0,1.0
0.0,2.0,51.0,0.0,1.0
0.0,2.0,52.0,0.0,1.0
0.0,2.0,53.0,0.0,1.0
0.0,2.0,54.0,0.0,1.0
0.0,2.0,55.0,0.0,1.0
0.0,2.0,56.0,0.0,1.0
0.0,2.0,57.0,0.0,1.0
0.0,2.0,58.0,0.0,1.0
0.0,2.0,59.0,0.0,1.0
0.0,3.0,0.0,0.0,1.0
0.0,3.0,1.0,0.0,1.0
0.0,3.0,2.0,0.0,1.0
0.0,3.0,3.0,0.0,1.0
0.0,3.0,4.0,0.0,1.0
0.0,3.0,5.0,0.0,1.0
0.0,3.0,6.0,0.0,1.0
0.0,3.0,7.0,0.0,1.0
0.0,3.0,8.0,0.0,1.0
0.0,3.0,9.0,0.0,1.0
0.0,3.0,10.0,0.0,1.0
0.0,3.0,11.0,0.0,1.0
0.0,3.0,12.0,0.0,1.0
0.0,3.0,13.0,0.0,1.0
0.0,3.0,14.0,0.0,1.0
0.0,3.0,15.0,0.0,1.0
0.0,3.0,16.0,0.0,1.0
0.0,3.0,17.0,3e-45,1.0
0.0,3.0,18.0,7.724e-42,1.0
0.0,3.0,19.0,1.2249875e-38,1.0
0.0,3.0,20.0,8.5139146e-36,1.0
0.0,3.0,21.0,2.7114416e-33,1.0
0.0,3.0,22.0,4.129717e-31,1.0
0.0,3.0,23.0,3.1321462e-29,1.0
0.0,3.0,24.0,1.2280457e-27,1.0
0.0,3.0,25.0,2.5751081e-26,1.0
0.0,3.0,26.0,2.9752298e-25,1.0
0.0,3.0,27.0,1.942305e-24,1.0
0.0,3.0,28.0,7.310154e-24,1.0
0.0,3.0,29.0,1.6095714e-23,1.0
0.0,3.0,30.0,2.0919129e-23,1.0
0.0,3.0,31.0,1.6095714e-23,1.0
0.0,3.0,32.0,7.310154e-24,1.0
0.0,3.0,33.0,1.942305e-24,1.0
0.0,3.0,34.0,2.9752298e-25,1.0
0.0,3.0,35.0,2.5751081e-26,1.0
0.0,3.0,36.0,1.2280457e-27,1.0
0.0,3.0,37.0,3.1321462e-29,1.0
0.0,3.0,38.0,4.129717e-31,1.0
0.0,3.0,39.0,2.7114416e-33,1.0
0.0,3.0,40.0,8.5139146e-36,1.0
0.0,3.0,41.0,1.2249875e-38,1.0
0.0,3.0,42.0,7.724e-42,1.0
0.0,3.0,43.0,3e-45,1.0
0.0,3.0,44.0,0.0,1.0
0.0,3.0,45.0,0.0,1.0
0.0,3.0,46.0,0.0,1.0
0.0,3.0,47.0,0.0,1.0
0.0,3.0,48.0,0.0,1.0
0.0,3.0,49.0,0.0,1.0
0.0,3.0,50.0,0.0,1.0
0.0,3.0,51.0,0.0,1.0
0.0,3.0,52.0,0.0,1.0
0.0,3.0,53.0,0.0,1.0
0.0,3.0,54.0,0.0,1.0
0.0,3.0,55.0,0.0,1.0
0.0,3.0,56.0,0.0,1.0
0.0,3.0,57.0,0.0,1.0
0.0,3.0,58.0,0.0,1.0
0.0,3.0,59.0,0.0,1.0
0.0,4.0,0.0,0.0,1.0
0.0,4.0,1.0,0.0,1.0
0.0,4.0,2.0,0.0,1.0
0.0,4.0,3.0,0.0,1.0
0.0,4.0,4.0,0.0,1.0
0.0,4.0,5.0,0.0,1.0
0.0,4.0,6.0,0.0,1.0
0.0,4.0,7.0,0.0,1.0
0.0,4.0,8.0,0.0,1.0
0.0,4.0,9.0,0.0,1.0
0.0,4.0,10.0,0.0,1.0
0.0,4.0,11.0,0.0,1.0
0.0,4.0,12.0,0.0,1.0
0.0,4.0,13.0,0.0,1.0
0.0,4.0,14.0,0.0,1.0
0.0,4.0,15.0,0.0,1.0
0.0,4.0,16.0,1.0688e-41,1.0
0.0,4.0,17.0,5.913438e-38,1.0
0.0,4.0,18.0,1.3305027e-34,1.0
0.0,4.0,19.0,1.2801715e-31,1.0
0.0,4.0,20.0,5.53554e-29,1.0
0.0,4.0,21.0,1.12932565e-26,1.0
0.0,4.0,22.0,1.1391169e-24,1.0
0.0,4.0,23.0,5.938733e-23,1.0
0.0,4.0,24.0,1.6675916e-21,1.0
0.0,4.0,25.0,2.6185698e-20,1.0
0.0,4.0,26.0,2.3765098e-19,1.0
0.0,4.0,27.0,1.2819543e-18,1.0
0.0,4.0,28.0,4.2031045e-18,1.0
0.0,4.0,29.0,8.513455e-18,1.0
0.0,4.0,30.0,1.0759869e-17,1.0
0.0,4.0,31.0,8.513455e-18,1.0
0.0,4.0,32.0,4.2031045e-18,1.0
0.0,4.0,33.0,1.2819543e-18,1.0
0.0,4.0,34.0,2.3765098e-19,1.0
0.0,4.0,35.0,2.6185698e-20,1.0
0.0,4.0,36.0,1.6675916e-21,1.0
0.0,4.0,37.0,5.938733e-23,1.0
0.0,4.0,38.0,1.1391169e-24,1.0
0.0,4.0,39.0,1.12932565e-26,1.0
0.0,4.0,40.0,5.53554e-29,1.0
0.0,4.0,41.0,1.2801715e-31,1.0
0.0,4.0,42.0,1.3305027e-34,1.0
0.0,4.0,43.0,5.913438e-38,1.0
0.0,4.0,44.0,1.0688e-41,1.0
0.0,4.0,45.0,0.0,1.0
0.0,4.0,46.0,0.0,1.0
0.0,4.0,47.0,0.0,1.0
0.0,4.0,48.0,0.0,1.0
0.0,4.0,49.0,0.0,1.0
0.0,4.0,50.0,0.0,1.0
0.0,4.0,51.0,0.0,1.0
0.0,4.0,52.0,0.0,1.0
0.0,4.0,53.0,0.0,1.0
0.0,4.0,54.0,0.0,1.0
0.0,4.0,55.0,0.0,1.0
0.0,4.0,56.0,0.0,1.0
0.0,4.0,57.0,0.0,1.0
0.0,4.0,58.0,0.0,1.0
0.0,4.0,59.0,0.0,1.0
0.0,5.0,0.0,0.0,1.0
0.0,5.0,1.0,0.0,1.0
0.0,5.0,2.0,0.0,1.0
0.0,5.0,3.0,0.0,1.0
0.0,5.0,4.0,0.0,1.0
0.0,5.0,5.0,0.0,1.0
0.0,5.0,6.0,0.0,1.0
0.0,5.0,7.0,0.0,1.0
0.0,5.0,8.0,0.0,1.0
0.0,5.0,9.0,0.0,1.0
0.0,5.0,10.0,0.0,1.0
0.0,5.0,11.0,0.0,1.0
0.0,5.0,12.0,0.0,1.0
0.0,5.0,13.0,0.0,1.0
0.0,5.0,14.0,5.68e-43,1.0
0.0,5.0,15.0,1.2249875e-38,1.0
0.0,5.0,16.0,9.819683e-35,1.0
0.0,5.0,17.0,3.0835048e-31,1.0
0.0,5.0,18.0,4.004579e-28,1.0
0.0,5.0,19.0,2.2713095e-25,1.0
0.0,5.0,20.0,5.938733e-23,1.0
0.0,5.0,21.0,7.5483494e-21,1.0
0.0,5.0,22.0,4.909494e-19,1.0
0.0,5.0,23.0,1.715848e-17,1.0
0.0,5.0,24.0,3.3725178e-16,1.0
0.0,5.0,25.0,3.8860038e-15,1.0
0.0,5.0,26.0,2.7230102e-14,1.0
0.0,5.0,27.0,1.1970111e-13,1.0
0.0,5.0,28.0,3.384447e-13,1.0
0.0,5.0,29.0,6.267616e-13,1.0
0.0,5.0,30.0,7.6872986e-13,1.0
0.0,5.0,31.0,6.267616e-13,1.0
0.0,5.0,32.0,3.384447e-13,1.0
0.0,5.0,33.0,1.1970111e-13,1.0
0.0,5.0,34.0,2.7230102e-14,1.0
0.0,5.0,35.0,3.8860038e-15,1.0
0.0,5.0,36.0,3.3725178e-16,1.0
0.0,5.0,37.0,1.715848e-17,1.0
0.0,5.0,38.0,4.909494e-19,1.0
0.0,5.0,39.0,7.5483494e-21,1.0
0.0,5.0,40.0,5.938733e-23,1.0
0.0,5.0,41.0,2.2713095e-25,1.0
0.0,5.0,42.0,4.004579e-28,1.0
0.0,5.0,43.0,3.0835048e-31,1.0
0.0,5.0,44.0,9.819683e-35,1.0
0.0,5.0,45.0,1.2249875e-38,1.0
0.0,5.0,46.0,5.68e-43,1.0
0.0,5.0,47.0,0.0,1.0
0.0,5.0,48.0,0.0,1.0
0.0,5.0,49.0,0.0,1.0
0.0,5.0,50.0,0.0,1.0
0.0,5.0,51.0,0.0,1.0
0.0,5.0,52.0,0.0,1.0
0.0,5.0,53.0,0.0,1.0
0.0,5.0,54.0,0.0,1.0
0.0,5.0,55.0,0.0,1.0
0.0,5.0,56.0,0.0,1.0
0.0,5.0,57.0,0.0,1.0
0.0,5.0,58.0,0.0,1.0
0.0,5.0,59.0,0.0,1.0
0.0,6.0,0.0,0.0,1.0
0.0,6.0,1.0,0.0,1.0
0.0,6.0,2.0,0.0,1.0
0.0,6.0,3.0,0.0,1.0
0.0,6.0,4.0,0.0,1.0
0.0,6.0,5.0,0.0,1.0
0.0,6.0,6.0,0.0,1.0
0.0,6.0,7.0,0.0,1.0
0.0,6.0,8.0,0.0,1.0
0.0,6.0,9.0,0.0,1.0
0.0,6.0,10.0,0.0,1.0
0.0,6.0,11.0,0.0,1.0
0.0,6.0,12.0,1e-45,1.0
0.0,6.0,13.0,1.02607e-40,1.0
0.0,6.0,14.0,3.3800334e-36,1.0
0.0,6.0,15.0,3.9406244e-32,1.0
0.0,6.0,16.0,1.7196643e-28,1.0
0.0,6.0,17.0,2.9752298e-25,1.0
0.0,6.0,18.0,2.1637074e-22,1.0
0.0,6.0,19.0,7.0162784e-20,1.0
0.0,6.0,20.0,1.0759869e-17,1.0
0.0,6.0,21.0,8.270084e-16,1.0
0.0,6.0,22.0,3.3705474e-14,1.0
0.0,6.0,23.0,7.6872986e-13,1.0
0.0,6.0,24.0,1.0318735e-11,1.0
0.0,6.0,25.0,8.536362e-11,1.0
0.0,6.0,26.0,4.533301e-10,1.0
0.0,6.0,27.0,1.6000312e-09,1.0
0.0,6.0,28.0,3.859067e-09,1.0
0.0,6.0,29.0,6.4908945e-09,1.0
0.0,6.0,30.0,7.708629e-09,1.0
0.0,6.0,31.0,6.4908945e-09,1.0
0.0,6.0,32.0,3.859067e-09,1.0
0.0,6.0,33.0,1.6000312e-09,1.0
0.0,6.0,34.0,4.533301e-10,1.0
0.0,6.0,35.0,8.536362e-11,1.0
0.0,6.0,36.0,1.0318735e-11,1.0
0.0,6.0,37.0,7.6872986e-13,1.0
0.0,6.0,38.0,3.3705474e-14,1.0
0.0,6.0,39.0,8.270084e-16,1.0
0.0,6.0,40.0,1.0759869e-17,1.0
0.0,6.0,41.0,7.0162784e-20,1.0
0.0,6.0,42.0,2.1637074e-22,1.0
0.0,6.0,43.0,2.9752298e-25,1.0
0.0,6.0,44.0,1.7196643e-28,1.0
0.0,6.0,45.0,3.9406244e-32,1.0
0.0,6.0,46.0,3.3800334e-36,1.0
0.0,6.0,47.0,1.02607e-40,1.0
0.0,6.0,48.0,1e-45,1.0
0.0,6.0,49.0,0.0,1.0
0.0,6.0,50.0,0.0,1.0
0.0,6.0,51.0,0.0,1.0
0.0,6.0,52.0,0.0,1.0
0.0,6.0,53.0,0.0,1.0
0.0,6.0,54.0,0.0,1.0
0.0,6.0,55.0,0.0,1.0
0.0,6.0,56.0,0.0,1.0
0.0,6.0,57.0,0.0,1.0
0.0,6.0,58.0,0.0,1.0
0.0,6.0,59.0,0.0,1.0
0.0,7.0,0.0,0.0,1.0
0.0,7.0,1.0,0.0,1.0
0.0,7.0,2.0,0.0,1.0
0.0,7.0,3.0,0.0,1.0
0.0,7.0,4.0,0.0,1.0
0.0,7.0,5.0,0.0,1.0
0.0,7.0,6.0,0.0,1.0
0.0,7.0,7.0,0.0,1.0
0.0,7.0,8.0,0.0,1.0
0.0,7.0,9.0,0.0,1.0
0.0,7.0,10.0,0.0,1.0
0.0,7.0,11.0,3e-44,1.0
0.0,7.0,12.0,4.740647e-39,1.0
0.0,7.0,13.0,2.4396988e-34,1.0
0.0,7.0,14.0,4.2072346e-30,1.0
0.0,7.0,15.0,2.5751081e-26,1.0
0.0,7.0,16.0,5.938733e-23,1.0
0.0,7.0,17.0,5.488343e-20,1.0
